序號	客家語言	等級	腔調	類別	客語音標	華語辭義	英語詞義	客語例句	華語翻譯
106	好	初級	四縣	形容性狀	hau	喜好；嗜好	be fond of; to love	阿爸當（蓋）好食水梨仔。	爸爸很喜歡吃水梨。
107	鬆爽	初級	四縣	形容性狀	sungˊ songˋ	舒適	comfortable	這間屋仔歇起來當（蓋）鬆爽。	這間房子住起來很舒適。
108	辛苦	初級	四縣	形容性狀	xinˊ kuˋ	辛苦	difficult	阿爸賺錢當（盡）辛苦。	爸爸賺錢很辛苦。
109	爽	初級	四縣	形容性狀	songˋ	痛快	to one's heart's content	該群細人仔搞到當（蓋）爽。	那群小孩子玩得很痛快。
110	著驚【嚇着】	初級	四縣	形容性狀	cog   giangˊ【hagˋdoˋ】	受驚嚇	surprised; scared	喊到恁大聲，害著驚(嚇着)一下。	叫得這麼大聲，害我嚇一跳。
111	鼓【刺着】	初級	四縣	形容性狀	guˋ【qiug doˋ】	針刺	to pierce	注射針吂鼓着(刺着)，佢就噭吔。	針頭還沒刺下去，他就哭了。
112	笑咪咪(微微)仔【笑咪咪(微微)吔】	初級	四縣	形容性狀	seu miˊmiˊeˋ【seu miˊ miˊ eˊ】	笑咪咪的	smile	佢看着人都笑咪咪仔，當（蓋）得人惜。	他見到人都笑瞇瞇的，很可愛。
001	燒暖	初級	四縣	天文地理	seuˊ nonˊ	暖和	warm	今晡日个天時當（盡）燒暖！	今天的天氣很暖和！
002	熱	初級	四縣	天文地理	ngied【ngiad】	熱	hot	今晡日還熱哪！	今天好熱啊！
003	涼	初級	四縣	天文地理	liongˇ	涼	cool	聽講天光日天時愛轉涼囉！	聽說明天天氣要轉涼囉！
004	寒【寒人】	初級	四縣	天文地理	honˇ【honˇ nginˇ】	寒冷	cold	今晡日當（蓋）寒(寒冷)，愛著加一領衫。	今天很冷，要多穿一件衣服。
005	冷	初級	四縣	天文地理	langˊ【(nangˊ)】	冷	cold	河壩水當(蓋)冷。	河水很冷。
006	烏陰	初級	四縣	天文地理	vuˊ imˊ	陰	cloudy	天烏陰烏陰，怕會落雨吔！	天氣陰陰，怕要下雨了！
007	燥	初級	四縣	天文地理	zauˊ	乾燥	dry	鹹菜晒燥變「鹹菜乾」。	酸菜晒乾變「梅干菜」。
008	溼	初級	四縣	天文地理	siibˋ	溼	wet	地泥恁溼，行路愛細義。	地上這麼溼，走路要小心。
009	風	初級	四縣	天文地理	fungˊ	風	wind	外背風當（蓋）大。	外面風很大。
010	雲	初級	四縣	天文地理	iunˇ	雲	cloud	天頂無半滴雲，還熱哦！	天上沒半點雲，好熱哦！
011	冰	初級	四縣	天文地理	benˊ	冰	ice	熱天時節，當(蓋)多人好食冰。	夏天時，很多人愛吃冰。
012	雪	初級	四縣	天文地理	xiedˋ	雪	snow	寒流來，合歡山落雪吔。	寒流來，合歡山下雪了。
013	風搓	初級	四縣	天文地理	fungˊ caiˊ	颱風	typhoon	今年風搓特別多。	今年颱風特別多。
014	好天	初級	四縣	天文地理	hoˋ tienˊ	晴天	clear day	今晡日恁好天，出來去尞。	今天天氣這麼好，出去玩。
015	烏陰天	初級	四縣	天文地理	vuˊ imˊ tienˊ	陰天	cloudy  day	烏陰天出門，還係帶遮仔較（過）好。	陰天出門，還是帶雨傘比較好。
016	涼爽	初級	四縣	天文地理	liongˇ songˋ	涼快	cool	在榕樹下尞較涼爽。	在榕樹下玩比較涼爽。
017	響雷公	初級	四縣	天文地理	hiongˋ luiˇ gungˊ	打雷	to thunder	當(蓋)驚響雷公。	我很怕打雷。
018	爧	初級	四縣	天文地理	ngiabˋ lang 【ngiabˋ nang】	閃電	to lightning	爧過後，跈等會響雷公。	閃電過後，接著會打雷。
019	落雨	初級	四縣	天文地理	log  iˋ	下雨	to rain	落雨囉！去學校愛擎遮仔。	下雨囉！上學要撐傘。
020	起濛紗煙【起濛露】【起濛霧】	初級	四縣	天文地理	hiˋ mungˇ saˊ ienˊ【hiˋ mungˇ lu】【hiˋmungˇvu】	起霧	to become foggy	朝晨頭起濛紗煙（起濛露），大體(概)會好天。	早上起霧，大多會天晴。
021	雨毛仔	初級	四縣	天文地理	iˋmoˊ eˋ	小雨	drizzling	外背這下落等雨毛仔。	外面現在下著毛毛雨。
022	天弓（虹）	初級	四縣	天文地理	tienˊ giungˊ（fungˇ）	虹	rainbow	東片山出天弓，還靚哦！	東邊山出現彩虹了，好漂亮哦！
023	日頭	初級	四縣	天文地理	ngidˋ teuˇ	太陽	sun	日頭落山哩 ，好轉（歸）夜咧(吔)！	太陽下山了，可以回家囉！
024	月光	初級	四縣	天文地理	ngied  gongˊ【ngiad  gongˊ】	月亮	moon	暗晡夜个月光特別大。	今天晚上的月亮特別大。
025	天頂	初級	四縣	天文地理	tienˊdangˋ	天上	heaven,sky	天頂有當（蓋）多星仔。	天上有很多星星。
026	地泥項	初級	四縣	天文地理	ti naiˇhong	地上	earth	地泥項个錢係麼人跌忒个？	地上的錢是誰掉的？
027	世界	初級	四縣	天文地理	sii  gie 【sii  giai】	世界	world	全世界都有客家人。	全世界都有客家人。
028	光線	初級	四縣	天文地理	gongˊ xien	光線	light	這隻（個）間房光線當（蓋）好。	這個房間光線很好。
029	空氣	初級	四縣	天文地理	kungˊ hi	空氣	air	莊下个空氣較（過）好。	鄉下的空氣比較好。
030	水	初級	四縣	天文地理	suiˋ	水	water	今晡日停水，無水好用。	今天停水，沒水可用。
031	泥	初級	四縣	天文地理	naiˇ	泥巴	earth; soil	細人仔當（蓋）好搞泥。	小孩子很喜歡玩泥巴。
032	泉水	初級	四縣	天文地理	qienˇ suiˋ【qionˇsuiˋ】	泉水	spring water	山頂个泉水當（蓋）冰、當（蓋）涼。	山上的泉水很冰、很涼。
033	水圳	初級	四縣	天文地理	suiˋ zun	水渠	water channel	該條水圳水當（蓋）清。	那條水圳的水很清。
034	河壩	初級	四縣	天文地理	hoˇ ba	河	river	阿婆喊毋好去河壩搞水。	奶奶叫我不要去河裡玩水。
035	陂塘	初級	四縣	天文地理	biˊ tongˇ	池塘	pond	吾屋脣有一口大陂塘。	我家屋旁有一個大池塘。
036	環保	初級	四縣	天文地理	kuanˇ boˋ/fanˇ boˋ	環保	environmental protection	人人都愛隨手做環保。	人人都要隨手做環保。
037	地動	初級	四縣	天文地理	ti  tungˊ	地震	earthquake	九二一大地動當（蓋）得人驚。	九二一大地震很可怕。
038	崩山	初級	四縣	天文地理	benˊ sanˊ	山崩	landslide	山頂落大雨當（蓋）驚崩山。	山上下大雨很怕山崩。
039	泥漿水	初級	四縣	天文地理	naiˇ jiongˊ suiˋ	泥漿水	mud, slurry	落雨天愛細義，毋好分車仔洩着泥漿水。	下雨天要小心，不要被車子濺到泥漿水。
040	土石流	初級	四縣	天文地理	tuˋsag liuˇ	土石流	mud slide	這擺土石流埋忒（核）當（蓋）多間屋仔。	這次土石流埋掉很多房子。
041	火燒屋	初級	四縣	天文地理	foˋseuˊvugˋ	火災	fire at a house	細人仔毋好搞火，毋堵好會火燒屋。	小孩子不要玩火，不小心會火災。
042	發大水(做大水)	初級	四縣	天文地理	bodˋ tai  suiˋ【bodˋtai suiˋ】(zo tai  suiˋ)	水災	to have flood	歸暗晡仔落大雨，毋知會做(發)大水無？	整晚下大雨，不知道會不會淹水？
043	石頭	初級	四縣	天文地理	sag  teuˇ	石頭	rock	河壩肚有當（蓋）多石頭。	河裡有很多石頭。
044	塵灰	初級	四縣	天文地理	ciinˇ foiˊ	灰塵	dust	桌仔當（蓋）久無捽，塵灰當（蓋）賁。	桌子很久沒擦，灰塵很厚。
045	山頂	初級	四縣	天文地理	sanˊ dangˋ	山頂	top of the mountain	山頂種當（蓋）多果子(水果)。	山上種很多水果。
046	亞洲	初級	四縣	天文地理	aˋ zuˊ	亞洲	Asia	臺灣在亞洲个東南片。	臺灣在亞洲的東南邊。
047	美洲	初級	四縣	天文地理	miˊ zuˊ	美洲	America	加拿大在美洲个北片。	加拿大在美洲的北邊。
048	歐洲	初級	四縣	天文地理	euˊ zuˊ	歐洲	Europe	當（蓋）想去歐洲旅行。	我很想去歐洲旅行。
049	非洲	初級	四縣	天文地理	fiˊ zuˊ	非洲	Africa	厥爸這下在非洲做生理。	他爸爸現在在非洲做生意。
050	臺灣	初級	四縣	天文地理	toiˇ vanˇ	臺灣	Taiwan	臺灣出產當（蓋）多好食个果子。	臺灣出產很多好吃的水果。
051	中國	初級	四縣	天文地理	zungˊ guedˋ	中國	China	中國个人口當（蓋）多。	中國的人口很多。
052	香港	初級	四縣	天文地理	hiongˊ gongˋ	香港	Hong Kong	香港識分英國統治過。	香港曾經被英國統治過。
053	美國（米國）	初級	四縣	天文地理	miˊ guedˋ（miˋguedˋ）	美國	United States of America	𠊎無去過美國。	我沒去過美國。
054	日本	初級	四縣	天文地理	ngidˋ bunˋ	日本	Japan	日本在臺灣个北方。	日本在臺灣的北方。
055	韓國	初級	四縣	天文地理	honˇ guedˋ	韓國	Korea	舊年寒假，吾姆帶去韓國尞。	去年寒假，媽媽帶我去韓國玩。
056	英國	初級	四縣	天文地理	inˊ guedˋ	英國	England	吾姊去英國留學。	我姊姊去英國留學。
057	臺北	初級	四縣	天文地理	toiˇ bedˋ	臺北	Taipei	臺北个屋價當高（盡貴），買毋起。	臺北的房價很高，我買不起。
058	桃園	初級	四縣	天文地理	toˇ ienˇ【toˇ ianˇ】	桃園	Taoyuan	識去過桃園慈湖。	我曾去過桃園慈湖。
059	新竹	初級	四縣	天文地理	xinˊ zugˋ	新竹	Hsinchu	新竹个風當（蓋）大。	新竹的風很大
060	苗栗	初級	四縣	天文地理	meuˇ lid	苗栗	Miaoli	苗栗當（蓋）多客(家)人。	苗栗很多客家人。
061	臺中	初級	四縣	天文地理	toiˇ zungˊ	臺中	Taichung	臺中个太陽餅當（蓋）好食。	臺中的太陽餅很好吃。
062	東勢	初級	四縣	天文地理	dungˊ sii	東勢	Dongshi	歇東勢，講大埔腔。	我住東勢，說大埔腔。
063	崙背	初級	四縣	天文地理	lunˇ boi	崙背	Lunbei	雲林个崙背有當（蓋）多詔安客。	雲林的崙背有很多詔安客。
064	臺南	初級	四縣	天文地理	toiˇ namˇ	臺南	Tainan	臺南係臺灣有名个古城。	臺南是臺灣有名的古城。
065	六堆	初級	四縣	天文地理	liugˋ duiˊ	六堆	Liudui	吾姆係六堆美濃人。	我媽是六堆美濃人。
066	萬巒	初級	四縣	天文地理	van manˇ【van lanˇ】	萬巒	Wanluan	萬巒豬腳當（蓋）有名。	萬巒豬腳很有名。
067	高雄	初級	四縣	天文地理	goˊ hiungˇ	高雄	Kaohsiung	吾爸坐高鐵去高雄看世運。	我爸搭高鐵去高雄看世運。
068	花蓮	初級	四縣	天文地理	faˊ lienˇ	花蓮	Hualien	你識食過花蓮个番薯餅無？	你曾吃過花蓮的番薯餅嗎？
069	臺東	初級	四縣	天文地理	toiˇ dungˊ	臺東	Taidong	識去臺東个知本洗溫泉。	我曾去臺東的知本洗溫泉。
070	北京	初級	四縣	天文地理	bedˋ ginˊ	北京	Beijing	北京奧運个開幕表演當（蓋）精采。	北京奧運的開幕表演很精采。
071	上海	初級	四縣	天文地理	song  hoiˋ	上海	Shanghai	這下个上海當（蓋）發展、當（蓋）鬧熱。	現在的上海很進步、很熱鬧。
072	東京	初級	四縣	天文地理	dungˊ ginˊ	東京	Tokyo	日本東京識發生大地動。	日本東京曾發生大地震。
073	淡水河	初級	四縣	天文地理	tam  suiˋ hoˇ	淡水河	Tamsui River	放尞日來去淡水河坐船仔。	假日一起去淡水河搭船。
074	濁水溪	初級	四縣	天文地理	cug  suiˋ haiˊ/tug  suiˋ haiˊ	濁水溪	Zhuoshui Stream	濁水溪係臺灣盡長个河壩。	濁水溪是臺灣最長的河流。
075	下淡水河（高屏溪）	初級	四縣	天文地理	ha tam  suiˋ hoˇ（goˊ pinˇ haiˊ）	高屏溪；原名下淡水河	Gaoping Stream （Lower Tamsui River）	下淡水河兩岸係頭擺客家人開墾个所在。	高屏溪兩岸是以前客家人開墾的地方。
076	日月潭	初級	四縣	天文地理	ngidˋ ngied  tamˇ【ngidˋ ngiad  tamˇ】	日月潭	Sun Moon Lake	外國人來臺灣，大體(概)會去日月潭尞。	外國人來臺灣，大多會去日月潭玩。
077	阿里山	初級	四縣	天文地理	aˊ liˊ sanˊ	阿里山	Ali Mountain	阿里山个火車路當（蓋）特別，世界有名。	阿里山的鐵路很特別，世界有名。
078	玉山	初級	四縣	天文地理	ngiug  sanˊ	玉山	Jade Mountain	玉山係臺灣盡高个山。	玉山是臺灣最高的山。
079	長江	初級	四縣	天文地理	congˇ gongˊ	長江	Yangtze River	長江係中國第一大河。	長江是中國第一大河。
080	黃河	初級	四縣	天文地理	vongˇ hoˇ	黃河	Yellow River	黃河在渤海出海。	黃河在渤海出海。
001	知得	初級	四縣	思維心態	diˊ dedˋ	知道	to know; be aware of	早知得恁危險，走較（過）贏。	早知這麼危險，走為上策。
002	想愛	初級	四縣	思維心態	xiongˋ oi	想要	to want	想愛跈你去，做得無？	我想跟你去，可以嗎？
003	打算	初級	四縣	思維心態	daˋ son	打算	to plan	打算畢業後出國去留學。	我打算畢業後出國去留學。
004	相信	初級	四縣	思維心態	xiongˊ xin	相信	to believe	相信佢毋會騙。	我相信他不會騙我。
005	疑狐	初級	四縣	思維心態	ngiˇfuˇ	懷疑	to suspect	你係有疑狐，做得去問佢。	你如果有疑問，可以去問他。
006	驚怕	初級	四縣	思維心態	giangˊ pa	恐怕	to be afraid	遮仔帶等去， 驚怕會落雨。	傘帶著去，怕會下雨。
007	話着【覺着】	初級	四縣	思維心態	va  doˋ【goˋ doˋ】	以為	to assume	話着(覺着)你愛來，害等歸朝晨。	我以為你要來，害我等一上午。
008	驚見笑	初級	四縣	思維心態	giangˊ gien  seu	害羞	shy	佢驚見笑，囥(庰)在屋肚毋敢出來。	他害羞，躲在房裡不敢出來。
009	敗勢	初級	四縣	思維心態	paiˇ se	不好意思	embarrassed; ill at ease	敗勢喔！毋堵好碰着你。	不好意思喔！不小心碰到你。
010	中意	初級	四縣	思維心態	zung  i	喜歡	to like	當（蓋）中意這領衫。	我很喜歡這件衣服。
011	感謝	初級	四縣	思維心態	gamˋ qia	感謝	to thank	感謝你同手。	感謝你幫我忙。
012	注意	初級	四縣	思維心態	zu  i	留意	to notice; be aware of	過十字路，愛注意紅青燈。	過十字路，要注意紅綠燈。
013	考慮	初級	四縣	思維心態	kauˋli	考慮	to contemplate	你考慮一下，看愛共下去無。	你考慮一下，看要不要一起去。
014	試着【測着】	初級	四縣	思維心態	cii  doˋ【zedˋdoˋ】	覺得	to feel	這擺个數學考題，你試着（測着）仰般(吔)？	這次的數學考題，你覺得怎樣？
015	感覺	初級	四縣	思維心態	gamˋ gogˋ	感覺	to feel	歇高樓堵着地動，感覺當（蓋）得人驚。	住高樓遇到地震，感覺很可怕。
016	確定	初級	四縣	思維心態	kogˋ tin	肯定	to make certain	這封信仔確定係佢寫个。	這封信確定是他寫的。
017	把扼	初級	四縣	思維心態	baˋ agˋ	把握	to seize	後生人愛把扼機會，煞猛打拚。	年輕人要把握機會，努力打拚。
018	記得	初級	四縣	思維心態	gi  dedˋ	記得	to remember	天光日愛記得帶色筆來喔！	明天要記得帶色筆來喔！
019	毋記得(添放忒)	初級	四縣	思維心態	mˇ gi  dedˋ(tiamˊ biong  tedˋ)	不記得	to forget	恁久个事情，早就毋記得哩。	這麼久的事情，早就不記得了。
020	毋甘願	初級	四縣	思維心態	mˇ gamˊ ngien	不甘願；嫉妒	unwilling, jealous	輸到當(蓋)毋甘願。	我輸得很不甘願。
021	毋盼得	初級	四縣	思維心態	mˇ pan  dedˋ	捨不得	unwilling to give up or part with	阿姆毋盼得留你一儕（個人）在屋下。	媽媽捨不得留你一個人在家。
022	夢	初級	四縣	思維心態	mung	夢	dream	昨暗晡發一隻夢，這下還記得。	我昨天晚上做一個夢，現在還記得。
001	做事	初級	四縣	行業生產	zo se	工作	work, job	佢做事當(蓋)煞猛，頭家當(蓋)阿佢。	他做事很認真，老闆很稱讚他。
002	郵局（郵便局）	初級	四縣	行業生產	iuˇ kiug （iuˇ pien kiug）	郵局	post office	去郵局寄掛號信。	我去郵局寄掛號信。
003	超市	初級	四縣	行業生產	ceuˊ sii	超市	supermarket	去超市買東西當（蓋）利便。	去超市買東西很方便。
004	便利商店	初級	四縣	行業生產	pien  li  songˊ diam	便利商店	convenience store	便利商店麼个都有賣。	便利商店什麼都賣。
005	百貨公司	初級	四縣	行業生產	bagˋ fo  gungˊ siiˊ	百貨公司	department store	暗晡夜愛去逛百貨公司。	我今天晚上要去逛百貨公司。
006	雜貨店	初級	四縣	行業生產	cab  fo  diam	雜貨店	grocery store	你去雜貨店買一罐豆油轉（歸）來好無?	你去雜貨店買一罐醬油回來好嗎?
007	專賣店	初級	四縣	行業生產	zonˊ mai  diam	專賣店	specialty store	買數位電視，愛去專賣店買。	買數位電視，要去專賣店買。
008	專櫃	初級	四縣	行業生產	zonˊ kui	專櫃	specialy in a department store counter	愛買化妝品，做得去百貨公司專櫃尋。	要買化妝品，可以去百貨公司專櫃找。
009	市場	初級	四縣	行業生產	sii  congˇ	市場	market	初一、十五，市場肚（裡背）當（蓋）鬧熱。	初一、十五，市場裡很熱鬧。
010	攤仔【擔仔】	初級	四縣	行業生產	tanˊ eˋ【damˊ eˋ】	攤子	stall	夜市仔當多人排攤仔(擔仔)。	夜市很多人擺攤子。
011	農場	初級	四縣	行業生產	nungˇ congˇ	農場	farm	吾叔開農場，種當（蓋）多青菜。	我叔叔開農場，種很多青菜。
012	戲院	初級	四縣	行業生產	hi ien 【hi ian】	戲院	movie theater	當（蓋）多年無去戲院看戲吔。	我很多年沒去戲院看戲了。
013	醫院	初級	四縣	行業生產	iˊ ien 【iˊ ian】	醫院	hospital	佢分車仔撞着，這下送去醫院吔。	他被車子撞，現在送去醫院了。
014	診所	初級	四縣	行業生產	ziinˊ soˋ【ziinˋ/jinˊ soˋ】	診所	clinic	寒着(凍着)愛去診所分先生看。	感冒要去診所看醫生。
015	孤兒院	初級	四縣	行業生產	guˊ iˇ ien 【guˊ iˇ ian 】	孤兒院	orphanage	阿姨在孤兒院做義工。	阿姨在孤兒院當義工。
016	書店	初級	四縣	行業生產	suˊ diam	書店	book store	這間書店當（蓋）大間，麼个書都有賣。	這家書店很大，什麼書都賣。
017	五金行	初級	四縣	行業生產	ngˋ gimˊ hongˇ	五金行	hardware store	這間五金行个生理當（蓋）好。	這家五金行的生意很好。
018	上班	初級	四縣	行業生產	songˊ banˊ	上班	to go to work	厥爸在縣政府上班。	他爸爸在縣政府上班。
019	下班	初級	四縣	行業生產	haˊ banˊ	下班	to be off duty	下班後，共下來去看電影好無？	下班後，一起去看電影好嗎？
020	加班	初級	四縣	行業生產	gaˊ banˊ	加班	to work overtime	厥叔逐日都愛加班。	他叔叔每天都要加班。
021	退休	初級	四縣	行業生產	tui hiuˊ	退休	to retire	吾伯今年在銀行退休。	我伯父今年從銀行退休。
022	無頭路	初級	四縣	行業生產	moˇteuˇlu	失業	jobless	景氣毋好，當（蓋）多人無頭路。	景氣不好，很多人失業。
023	辭頭路	初級	四縣	行業生產	ciiˇ teuˇ  lu	辭職/革職	to resign,to quit	厥叔辭頭路，去美國讀書。	他叔叔辭掉工作，去美國讀書。
024	工人	初級	四縣	行業生產	gungˊ nginˇ	工人	worker	這間工廠請有兩百零個工人。	這家工廠請有兩百多個工人。
025	職員	初級	四縣	行業生產	ziidˋ ienˇ【ziidˋ ianˇ】	職員	staff	這間公司个職員當(蓋)親切。	這家公司的職員很親切。
026	店員	初級	四縣	行業生產	diam  ienˇ【diam  ianˇ】	店員	shop assistant	做店員，對人客服務愛周到。	當店員，對客人服務要周到。
027	業務員	初級	四縣	行業生產	ngiab  vu  ienˇ【ngiab vu ianˇ】	業務員	sales representative	做業務員面皮愛賁，毋驚人嫌。	當業務員臉皮要厚，不怕人嫌。
028	工廠	初級	四縣	行業生產	gungˊ congˋ	工廠	factory	厥爸在新竹開工廠。	他爸爸在新竹開工廠。
029	公司	初級	四縣	行業生產	gungˊ siiˊ	公司	company	公司當（蓋）無閒，禮拜日還愛加班。	公司很忙，禮拜天還要加班。
030	辦公室	初級	四縣	行業生產	pan  gungˊ siidˋ	辦公室	office	禮拜日辦公室無人。	禮拜天辦公室沒人。
031	經理	初級	四縣	行業生產	ginˊ liˊ	經理	manager	邱經理係高雄人。	邱經理是高雄人。
032	副總經理	初級	四縣	行業生產	fu  zungˋ ginˊ liˊ	副總經理	vice general manager	厥姨丈今年升副總經理。	他姨丈今年升副總經理。
033	總經理	初級	四縣	行業生產	zungˋ ginˊ liˊ	總經理	general manager	這公司个總經理係外國人。	這公司的總經理是外國人。
034	董事長	初級	四縣	行業生產	dungˋ sii  zongˋ	董事長	chairman; president	佢開一間公司，自家做董事長。	他開一家公司，自己當董事長。
035	主管	初級	四縣	行業生產	zuˋ gonˋ	主管	super intendent	厥伯在派出所做主管。	他伯父在派出所當主管。
036	頭家	初級	四縣	行業生產	teuˇ gaˊ	老闆	boss	佢做毋著事，分頭家罵。	他做錯事，被老闆罵。
037	部下	初級	四縣	行業生產	pu  ha	下屬	subordinate	佢在公司做細主管，管五個部下。	他在公司當小主管，管五個部下。
038	外銷	初級	四縣	行業生產	ngoi  seuˊ	外銷	export	頭擺臺灣弓蕉大部分外銷日本。	以前臺灣的香蕉大部分外銷日本。
039	退貨	初級	四縣	行業生產	tui  fo	退貨	to reject goods	這罐牛乳粉有問題，愛退貨。	這罐奶粉有問題，我要退貨。
040	調貨	初級	四縣	行業生產	diau  fo	調貨	to fill order by transferring goods from other places	這下無貨，調貨分你。	現在沒貨，我調貨給你。
041	定(注文)	初級	四縣	行業生產	tin(zu vunˇ)	訂購	order	同你定二十隻飯包，當晝送過來。	我向你訂購二十個便當，中午送過來。
042	假貨	初級	四縣	行業生產	gaˋ fo	仿冒品	counterfeit product	市面項當（蓋）多假貨，愛細義。	市面上很多假貨，要小心。
043	廣告	初級	四縣	行業生產	gongˋ go	廣告	advertisement	這種牙膏，電視有廣告。	這種牙膏，電視有廣告。
044	倒店【仆歇】	初級	四縣	行業生產	doˋ diam【pugˋ hedˋ 】	倒閉	to go bankrupt; to close down	佢開公司倒店(仆歇)，這下在該走路。	他開公司倒店，現在在跑路。
045	等路【浪想】	初級	四縣	行業生產	denˋ lu 【long／nong xiongˋ】	禮物	present; gift	去人屋下拜訪，愛帶等路（浪想）。	去人家裡拜訪，要帶禮物。
046	地圾（垃圾）	初級	四縣	行業生產	ti  sebˋ（lebˋ sebˋ）	垃圾	gabbage	地圾車來吔，地圾遽遽拿出去擲。	垃圾車來了，垃圾趕快拿出去扔。
047	金光黨	初級	四縣	行業生產	gimˊ gongˊ dongˋ	金光黨	gang of swindlers/conmen	這下金光黨當(蓋)多，愛細義兜仔。	現在金光黨很多，要小心一點。
001	新臺幣	初級	四縣	財政金融	xinˊ toiˇ bi	新臺幣	NT Dollar	這隻古董標價新臺幣五十萬銀。	這個古董標價新臺幣五十萬元。
002	美金	初級	四縣	財政金融	miˊ gimˊ	美金	US Dollar	去美國尞，愛先換美金。	去美國玩，要先換美金。
003	人民幣	初級	四縣	財政金融	nginˇ minˇ bi	人民幣	renminbi, RMB	敗勢，兜个店無收人民幣。	不好意思，我們的店不收人民幣。
004	角（角銀）	初級	四縣	財政金融	gogˋ（gogˋngiunˇ）	角	dime	坐公車，少一角銀都做毋得。	搭公車，少一毛錢都不可以。
005	銀（個銀）	初級	四縣	財政金融	ngiunˇ（ge ngiunˇ）	元	dollar	伸這垤豬肉，賣你五十個銀就好。	剩這塊豬肉，賣你五十元就好。
006	銀角仔	初級	四縣	財政金融	ngiunˇ gogˋ eˇ	硬幣	coin	你有銀角仔好換無？	你有硬幣可換嗎？
007	找錢	初級	四縣	財政金融	zauˋ qienˇ	找錢	to give change	用大票買東西，愛記得找錢。	用大鈔買東西，要記得找錢。
008	領錢	初級	四縣	財政金融	liangˊ qienˇ	領錢	to get one's pay; to withdraw money	吾姆愛去銀行領錢。	我媽要去銀行領錢。
009	換錢	初級	四縣	財政金融	von  qienˇ	換錢	to change money	頭家，無零星錢，做得同你換錢無？	老闆，我沒零錢，可以跟你換錢嗎？
010	撿錢	初級	四縣	財政金融	giamˋ qienˇ	付款；收款	to pay somebody; to get money off somebody	東西買好，愛撿錢分人。	東西買好，要付錢給人。
011	賒數	初級	四縣	財政金融	caˊ sii	賒帳	to buy on account or credit	無帶着錢，做得賒數無？	我沒帶錢，可以賒帳嗎？
012	借錢	初級	四縣	財政金融	jia  qienˇ	借錢	to borrow money; to lend money	佢見到月底就會去借錢。	他每次到月底就會去借錢。
013	還錢	初級	四縣	財政金融	vanˇ  qienˇ	還錢	to return money; to pay back	去銀行還錢，順續納利子。	我去銀行還錢，順便繳利息。
014	利子(利錢)	初級	四縣	財政金融	li  ziiˋ(li  qienˇ)	利息	interest	高利貸款个利子當(蓋)高，會矺死人。	高利貸款的利息很高，會壓死人。
015	使錢（開錢）	初級	四縣	財政金融	siiˋ qienˇ（koiˊ qienˇ）	花錢	to spend money	佢當（蓋）會使錢，像屋下開銀行樣仔。	他很會花錢，像家裡開銀行似的。
016	銀行	初級	四縣	財政金融	ngiunˇ  hongˇ	銀行	bank	同銀行借錢愛算利子。	跟銀行借錢要算利息。
017	貯金簿	初級	四縣	財政金融	du gimˊ puˊ【duˋ gimˊ puˊ】	存摺	deposit book	帶貯金簿去銀行領錢。	我帶存摺去銀行領錢。
018	信用卡	初級	四縣	財政金融	xin  iung  kaˋ	信用卡	credit card	買東西用信用卡，當（蓋）方便。	買東西用信用卡，很方便。
019	金融卡（提款卡）	初級	四縣	財政金融	gimˊ iungˇ kaˇ（tiˇkuanˋkaˇ）	金融卡	bank card	係有金融卡，領錢當（蓋）利便。	如果有金融卡，提款很方便。
020	提款機	初級	四縣	財政金融	tiˇ kuanˋ giˊ	提款機	ATM	這下當（蓋）多便利商店裡肚有提款機。	現在很多便利商店裡面有提款機。
021	現金	初級	四縣	財政金融	hien  gimˊ【hian gimˊ】	現金	cash	屋下毋好放忒多現金。	家裡不要放太多現金。
022	支票	初級	四縣	財政金融	ziiˊ peuˊ	支票	check	這張支票二月二十五到期。	這張支票二月二十五日到期。
023	收據	初級	四縣	財政金融	suˊ giˋ	收據	receipt	收據愛囥（庰）好，毋好跌忒(核)。	收據要藏好，不要掉了。
024	借據	初級	四縣	財政金融	jia giˋ	借據	IOU	同人借錢，愛寫借據分人。	向人借錢，要寫借據給人。
025	發票	初級	四縣	財政金融	fadˋ peuˊ	發票	invoice	買東西，愛記得拿發票。	買東西，要記得拿發票。
026	匯票	初級	四縣	財政金融	fi  peuˊ	匯票	draft; money order	佢昨晡日去郵局寄匯票分厥爸。	他昨天去郵局寄匯票給他爸爸。
027	便宜	初級	四縣	財政金融	pienˇ ngiˇ	便宜	cheap	便宜無好貨，好貨無便宜。	便宜沒好貨，好貨不便宜。
028	貴	初級	四縣	財政金融	gui	貴	expensive	菜恁貴，買毋落手。	菜這麼貴，買不下手。
029	買	初級	四縣	財政金融	maiˊ	買	to buy	買牛奶，愛看有效日期。	買牛奶，要看有效日期。
030	賣	初級	四縣	財政金融	mai	賣	to sell	厥爸逐日去市場賣菜。	他爸爸每天去市場賣菜。
031	月給【月俸】	初級	四縣	財政金融	ngied  gibˋ【ngiad  gibˋ】【ngiad fung】	月薪	salary	佢初一領月給，月半就使淨淨吔。	他初一領薪水，月中就花光光了。
032	扣月給	初級	四縣	財政金融	kieu  ngied  gibˋ【kieu  ngiad  gibˋ】	扣薪	to deduct pay	佢請假忒多，分頭家扣月給。	他請假太多，被老闆扣薪水。
